# Boundary attack with validation_dataset(5359 images)
# and metrics using model_dataset(30547)
# Model_dataset & validation set: density: 0.83190894
# Model_dataset & validation adv (5359): density: 10.122859
# Model_dataset & validation set: coverage: 0.4988706
# Model_dataset & validation adv (5359): coverage: 0.65882087
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.48333335 8.648667 0.023602974 0.184077
1 0.4793334 12.8133335 0.023046453 0.22611059
2 0.55200005 10.974667 0.026843881 0.20633778
3 1.0113333 14.084001 0.04881003 0.2264707
4 0.32 9.192668 0.015484336 0.14970374
5 0.8073333 10.351334 0.036697548 0.1752709
6 0.8679999 8.351334 0.0417717 0.15431957
7 0.69200003 7.8993335 0.033456642 0.20614137
8 1.2146667 14.549335 0.0583036 0.28366125
9 1.1513335 12.606001 0.05175631 0.26542705
10 0.6586666 8.223333 0.031950764 0.2200216
11 1.3266665 12.921335 0.06206829 0.23288703
12 1.0479999 7.871334 0.051134318 0.18564835
13 0.75733334 10.820667 0.036402922 0.20702524
14 1.0333333 6.9220004 0.05028317 0.22431009
15 0.7973333 8.191333 0.038105216 0.18754706
16 0.98466676 6.7126675 0.04746784 0.15448326
