# Boundary attack with validation_dataset(5359 images)
# and metrics using model_dataset(30547)
# Model_dataset & validation set: density: 0.83190894
# Model_dataset & validation adv (5359): density: 10.122859
# Model_dataset & validation set: coverage: 0.4988706
# Model_dataset & validation adv (5359): coverage: 0.65882087
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.5026667 11.404001 0.012341638 0.1232527
1 0.46400005 3.5173333 0.0113595445 0.0804007
2 0.52533334 8.973333 0.012898157 0.15323928
3 0.43333334 17.933332 0.010442925 0.18257113
4 0.33733332 11.290668 0.008216847 0.094215475
5 0.7666667 7.948 0.01875798 0.17297934
6 0.6373334 17.014668 0.015189708 0.18764527
7 1.3853334 10.662668 0.033882216 0.12714833
8 0.35333338 12.812 0.008675156 0.15752774
9 0.28666666 5.5466666 0.006940125 0.075915806
10 0.6973334 8.494666 0.016859267 0.17438701
11 0.9173334 17.836 0.022228042 0.17422333
12 1.1720002 15.052002 0.028480703 0.12564245
13 0.56400007 5.898667 0.013651095 0.13006188
14 0.88266677 8.264001 0.02140963 0.14318919
15 0.50133336 7.524 0.012308901 0.10632796
16 2.1346667 4.9693336 0.05146168 0.11087832
17 0.29466668 11.577334 0.0072020167 0.15284644
18 1.8880001 15.728002 0.042000853 0.23226504
19 0.41466668 6.2173333 0.010148296 0.07306773
20 0.7893334 7.5666676 0.01921629 0.12822863
21 0.528 10.269333 0.012898157 0.18296397
22 0.96000004 11.534668 0.023504764 0.18669592
23 1.6933334 14.909335 0.038923625 0.19314499
24 1.2493334 8.722666 0.03060857 0.10753921
25 0.8466668 8.202667 0.020656694 0.14561169
26 0.7 7.7906666 0.017055685 0.11758929
27 0.8146667 13.542667 0.019969229 0.16302747
28 0.9373334 14.538668 0.022817299 0.1803123
29 1.1293334 2.177333 0.027629554 0.05303303
30 0.8000001 10.52 0.01941271 0.12688644
31 0.79466677 7.7759995 0.019019872 0.1704259
32 0.4586667 6.3320003 0.011195863 0.078698404
33 1.5106667 9.233334 0.036533866 0.18911842
34 1.0426669 6.9759994 0.02546895 0.09113825
