# Boundary attack with validation_dataset(4708 images)
# and metrics using model_dataset(54142)
# Model_dataset & validation set: density: 1.0169499
# Model_dataset & validation adv (4708): density: 2.7256584
# Model_dataset & validation set: coverage: 0.34394738
# Model_dataset & validation adv (4708): coverage: 0.2428983
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 1.052 2.7936003 0.023955524 0.030937165
1 0.97120005 3.1656003 0.021979239 0.03211924
2 0.9760001 2.7456002 0.022422519 0.030198367
3 1.0472 2.9432003 0.023881644 0.03250711
4 0.99920005 2.6552002 0.022662628 0.028462192
5 0.99520004 2.476 0.022791917 0.029847438
6 0.95040005 2.5928001 0.02164678 0.027945032
7 1.0752 2.9776003 0.024324924 0.032267
8 1.0120001 3.0856001 0.023179786 0.03182372
9 1.0232 2.8488 0.023530716 0.031029515
10 1.0464001 2.496 0.024029404 0.030235307
11 1.0663999 2.3712003 0.024324924 0.030493887
12 0.97920007 2.6000001 0.021979239 0.031306565
13 0.99120003 2.9088001 0.022625688 0.031121865
14 0.9968 2.6720002 0.022570278 0.028166672
15 1.0304 2.8264 0.023549186 0.030106017
16 0.97999996 2.716 0.022422519 0.028259022
17 1.1104 2.4080002 0.025193011 0.031805255
