# Boundary attack with validation_dataset(5359 images)
# and metrics using model_dataset(30547)
# Model_dataset & validation set: density: 0.83190894
# Model_dataset & validation adv (5359): density: 10.122859
# Model_dataset & validation set: coverage: 0.4988706
# Model_dataset & validation adv (5359): coverage: 0.65882087
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.2830189 4.5471697 0.002455233 0.031034146
1 1.245283 21.532078 0.010803025 0.0744754
2 0.15849058 13.0679245 0.0013749305 0.11081285
3 0.79622644 0.89056605 0.0069073886 0.0076930635
4 0.5849057 1.7962265 0.0050414116 0.01535339
5 0.18490566 9.762265 0.0016040856 0.069073886
6 1.0113207 3.5132072 0.008773366 0.030412152
7 0.36226416 6.766038 0.0031426982 0.04874456
8 0.56226414 23.675472 0.00477952 0.1430255
9 0.3962264 5.573584 0.003437326 0.031296037
10 0.2301887 5.5245285 0.0019969228 0.031296037
11 0.26792452 20.11321 0.0023242873 0.0822012
12 0.29056603 6.5433965 0.0025207058 0.05627394
13 0.42641515 17.713207 0.0036664812 0.077356204
14 1.0603774 13.769813 0.009198939 0.118636854
15 0.9245283 18.256603 0.008020428 0.14813238
16 0.2792453 3.3660378 0.0024224964 0.029168168
17 1.1924529 21.101887 0.010344715 0.15215898
18 0.5924529 17.633963 0.005139621 0.07074345
19 0.21509436 7.8000007 0.0018659771 0.038105216
20 3.109434 10.698113 0.02694209 0.06812453
21 0.34716982 10.222641 0.002979016 0.073034994
22 0.53207546 11.045283 0.004615838 0.065538354
23 0.30943397 18.705662 0.002684388 0.08917406
24 0.5735849 6.003773 0.0049759387 0.05205094
25 0.2264151 9.505661 0.0019641863 0.04825351
26 0.509434 3.6603775 0.0044194194 0.029822897
27 0.08301887 3.2830188 0.00072020164 0.025567159
28 0.21509436 10.237737 0.0018659771 0.05882738
29 0.59622645 9.732077 0.005139621 0.08429633
30 1.0603775 3.8754718 0.0091334665 0.033554852
31 0.68301886 15.520756 0.0058598225 0.04412872
32 0.42641515 14.384907 0.0036992177 0.08897764
33 1.6377358 11.101886 0.014076669 0.065734774
34 1.245283 7.2377353 0.010803025 0.06265754
35 0.67169815 17.581133 0.005827086 0.08799555
36 1.6075473 18.2 0.013912987 0.085573055
37 0.5849057 0.9245283 0.005074148 0.008020428
38 0.33207548 4.2716985 0.0028808066 0.03705765
39 1.5886792 5.3924527 0.013782041 0.045176286
40 0.109433964 3.0792453 0.00094935676 0.026549252
41 1.1132076 19.166039 0.009624513 0.13876976
42 0.24905661 10.769813 0.002160605 0.08108816
43 0.26037738 6.0075474 0.0022588144 0.049235605
44 0.4867925 5.656604 0.0042230007 0.03191803
45 0.7283019 1.9433962 0.006318133 0.016826529
46 1.1886792 16.841509 0.010311979 0.13507055
47 3.3433964 3.5811324 0.02887354 0.030935936
48 1.5471698 27.969812 0.013421941 0.17523816
49 0.4566038 3.7169812 0.003961109 0.031754345
50 0.19622642 23.230188 0.0017022949 0.13300815
51 1.1207547 12.7094345 0.0077585364 0.058270864
52 1.0339624 15.211321 0.008937048 0.12898158
53 3.2075472 9.818868 0.02546895 0.084983796
54 0.31320757 0.6339623 0.0027171245 0.0054669855
55 0.5018868 8.905661 0.00432121 0.067535274
56 0.44528303 17.566038 0.0038629 0.13454677
57 1.6264153 5.9056606 0.014011196 0.05103611
58 0.16981132 0.5056604 0.0014731397 0.0043539465
59 0.6528302 11.4377365 0.0056634042 0.05958032
60 0.5358491 26.02264 0.0046485746 0.1858775
61 0.44905666 2.2981133 0.0038956364 0.019903755
62 0.4754717 5.7509437 0.0041247914 0.049235605
63 1.4566038 22.426416 0.012636266 0.15589093
64 0.97358495 10.803773 0.008446001 0.086195044
65 1.4113208 2.9094343 0.011981537 0.024323175
66 0.9773585 9.554718 0.008478737 0.05316398
67 2.456604 13.618869 0.021278685 0.090450786
68 0.33584908 12.313208 0.002913543 0.074409924
69 0.28679246 3.0792456 0.0024879694 0.026712935
70 3.0415096 9.120755 0.02638557 0.07621043
71 0.90943396 8.532076 0.007889482 0.04982486
72 1.0113208 3.24151 0.008675156 0.02795692
73 0.41132078 8.226416 0.0035682719 0.051821783
74 0.6754717 7.3056607 0.0058598225 0.06311586
75 1.0792453 4.9471703 0.009362622 0.04281926
76 0.53584903 10.245283 0.0046485746 0.08053164
77 1.0905662 7.071698 0.009460831 0.060464203
78 0.70188683 10.837735 0.0060889777 0.063967004
79 0.56226414 9.7962265 0.0048777293 0.08409991
80 0.34339625 18.796227 0.002979016 0.14639735
81 1.8264152 5.4415092 0.01571349 0.046911318
82 1.7471699 4.698113 0.015156971 0.040658657
83 0.9169811 0.9735849 0.007889482 0.008380529
84 1.0679246 7.407548 0.009231676 0.064196154
85 1.1433964 7.328302 0.009919141 0.06341048
86 0.3245283 12.1169815 0.002815334 0.067273386
87 0.3849057 7.3433967 0.003339117 0.055128165
88 0.7358491 7.8452835 0.0063836058 0.06792811
89 1.3169812 4.0377364 0.011392281 0.034831572
90 0.44150943 0.5018868 0.0038301635 0.0043539465
91 0.58867925 2.818868 0.005074148 0.0242577
92 0.29811323 12.509434 0.0025861787 0.081644684
93 0.9207548 22.467926 0.007987691 0.16839625
94 2.7396226 4.754717 0.023472028 0.040855076
95 0.47547168 3.3433964 0.0039938455 0.025796315
96 1.109434 1.2301886 0.009624513 0.010672079
97 1.592453 10.347171 0.013683831 0.075555705
98 0.49433964 9.003774 0.0042884736 0.048220776
99 0.5056604 7.679246 0.004386683 0.0417717
100 0.3735849 4.381132 0.0030444888 0.022915509
