# Boundary attack with validation_dataset(5359 images)
# and metrics using model_dataset(30547)
# Model_dataset & validation set: density: 0.83190894
# Model_dataset & validation adv (5359): density: 10.122859
# Model_dataset & validation set: coverage: 0.4988706
# Model_dataset & validation adv (5359): coverage: 0.65882087
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.702 13.849999 0.01149049 0.09532851
1 0.56000006 3.1239996 0.009166203 0.041411597
2 0.45200002 5.7799997 0.007365699 0.091694765
3 0.626 4.2639995 0.010246506 0.04419419
4 0.478 12.524001 0.0076930635 0.10694995
5 0.33400002 14.95 0.0054669855 0.117000036
6 0.252 12.232 0.004092055 0.12053557
7 0.77400005 15.914001 0.012636266 0.20185289
8 0.626 15.855999 0.010213769 0.14954005
9 0.9240001 15.985998 0.014469506 0.0970308
10 1.7099999 12.516001 0.027989656 0.11677088
11 0.532 9.926 0.008609683 0.091662034
12 0.244 15.608 0.0039938455 0.1408649
13 0.426 7.14 0.006940125 0.062788494
14 0.29799998 4.9459996 0.0048777293 0.067698956
15 0.37200004 7.544 0.006056241 0.118800536
16 0.974 16.395998 0.015549809 0.15985203
17 1.0439999 18.26 0.016859267 0.15543261
18 1.0040001 11.813999 0.016139064 0.092087604
19 1.0759999 10.365999 0.017513996 0.10757194
20 0.52599996 3.062 0.008478737 0.049792126
21 0.696 9.848001 0.0113595445 0.14947458
22 0.71 14.438 0.011555963 0.167185
23 0.66999996 3.5839996 0.010966707 0.038203426
24 0.716 14.358 0.011719645 0.1639441
25 2.586 16.0 0.042131796 0.2121976
26 0.338 8.424 0.0055324584 0.062035553
27 0.836 9.702 0.011686909 0.08747177
28 2.1379998 18.686 0.032605495 0.22679806
29 0.482 8.944 0.007856745 0.075359285
30 0.938 7.414 0.015222444 0.114086494
31 0.476 8.959999 0.007791273 0.06743707
32 0.564 11.782001 0.009166203 0.16315842
33 1.2719998 10.834 0.020820376 0.105836906
34 0.91599995 10.948 0.014698661 0.12524962
35 1.786 14.108 0.029102694 0.13804957
36 0.34800002 7.3739996 0.005630668 0.06819
37 1.7199999 7.767999 0.028153338 0.10370904
38 1.06 8.782001 0.017252104 0.1215504
39 0.572 8.128 0.009362622 0.08707893
40 0.754 11.343999 0.012276165 0.095590405
41 0.95 11.516 0.015517073 0.14659378
42 0.592 10.418 0.00965725 0.15323928
43 1.7540002 9.428 0.028578911 0.15405768
44 0.77000004 1.51 0.01250532 0.024486857
45 1.028 11.513999 0.01656464 0.0884866
46 0.566 12.493999 0.009231676 0.13444856
47 0.84199995 1.0419999 0.013716568 0.016924739
48 0.53000003 8.226 0.00864242 0.0741153
49 0.6380001 12.7560005 0.010410188 0.15392675
50 1.7879999 2.6039999 0.02877533 0.04036403
51 1.3920001 10.468 0.022653617 0.16201264
52 0.42599997 8.668 0.0067437068 0.055750158
