# Boundary attack with validation_dataset(4708 images)
# and metrics using model_dataset(54142)
# Model_dataset & validation set: density: 1.0169499
# Model_dataset & validation adv (4708): density: 2.7256584
# Model_dataset & validation set: coverage: 0.34394738
# Model_dataset & validation adv (4708): coverage: 0.2428983
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.948 2.2506669 0.0131136635 0.01802667
1 1.1386667 2.9813335 0.015754867 0.023807764
2 0.9813333 2.776 0.013446123 0.020464703
3 0.96533346 3.442667 0.0131875435 0.023678474
4 0.9653334 2.6053336 0.013372243 0.020944923
5 1.1040001 2.7346668 0.015274648 0.022921206
6 1.008 3.114667 0.013907872 0.022016179
7 0.97333336 2.4919999 0.013372243 0.019467326
8 1.036 2.5773335 0.014240331 0.02159137
9 0.94800013 2.4386668 0.0130951945 0.020113776
10 0.9266667 2.6773336 0.012725795 0.020187655
11 1.0040001 2.4960003 0.013630822 0.019208748
12 1.1159999 3.042667 0.015311588 0.022311699
13 0.9826667 2.66 0.013427653 0.019707436
14 1.0333333 3.0800002 0.014258801 0.022145469
15 1.0493333 2.9346669 0.01448044 0.022533339
16 0.9773334 2.3733335 0.013538473 0.019171808
17 1.1026666 2.6000001 0.015182299 0.02166525
18 0.9840001 2.2346668 0.013630822 0.018802408
19 1.1133333 2.5826666 0.015256179 0.0217576
20 0.9853334 2.8813336 0.013446123 0.023290606
21 1.0266666 2.2333333 0.014055631 0.019688966
22 0.9666667 2.9546669 0.013335303 0.021111151
23 0.9853334 3.0786667 0.013593882 0.021203501
24 0.9813333 2.452 0.013520003 0.019264158
25 1.0306667 3.3040001 0.014258801 0.02181301
26 1.0253333 2.4840002 0.014166451 0.01804514
27 0.9706667 2.5946667 0.013372243 0.019910606
28 1.0266666 2.4733334 0.014184921 0.019762846
29 1.148 2.4026666 0.015754867 0.022477929
30 1.0360001 2.8066669 0.014314211 0.02172066
