# Boundary attack with validation_dataset(4708 images)
# and metrics using model_dataset(54142)
# Model_dataset & validation set: density: 1.0169499
# Model_dataset & validation adv (4708): density: 2.7256584
# Model_dataset & validation set: coverage: 0.34394738
# Model_dataset & validation adv (4708): coverage: 0.2428983
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.88979584 1.9836733 0.004026449 0.0066861217
1 1.0244898 2.2938776 0.004635957 0.0074618594
2 0.93469393 2.7632651 0.0042296182 0.009308854
3 0.96326524 3.1387758 0.004358908 0.01093421
4 1.4489797 3.7510204 0.0065568318 0.012430276
5 1.0040816 2.057143 0.0045436076 0.0076280893
6 0.95918363 3.2693877 0.004340438 0.010638691
7 1.0163265 2.7142856 0.0045436076 0.008699346
8 0.96734697 2.4367347 0.004377378 0.007849729
9 0.9183673 5.363265 0.004063389 0.013483063
10 1.0163265 2.0612245 0.0045990176 0.007942079
11 0.9265306 3.2204082 0.0041926783 0.009622844
12 1.0040816 2.9102042 0.0045436076 0.009641314
13 0.9877551 2.7877553 0.0044697276 0.009198035
14 0.9306122 1.755102 0.0042111482 0.0071848105
15 0.9632653 2.9020407 0.004358908 0.009770603
16 0.96734697 2.0244896 0.004377378 0.0075172693
17 0.97959185 2.8612247 0.0044327877 0.009142625
18 1.3510203 3.008163 0.0061135534 0.009438144
19 0.9714285 2.522449 0.004395848 0.009050275
20 1.0408163 3.7836733 0.004709837 0.011340549
21 1.0938776 3.1836734 0.0049130064 0.009696723
22 0.9877551 3.1265304 0.0044697276 0.010269292
23 0.90612245 2.2244897 0.004063389 0.006870821
24 0.98367345 2.2857141 0.0044512576 0.0075172693
25 0.9346938 2.6857142 0.0042296182 0.009789073
26 1.1061225 2.3510203 0.0050053564 0.008791696
27 1.0408163 2.4489796 0.004709837 0.0084407665
28 0.95918363 2.3061223 0.004340438 0.0083114775
29 0.98367345 2.2163265 0.0044143177 0.007849729
30 0.8734694 2.689796 0.0039525693 0.008736286
31 0.9183673 3.0081635 0.0041187988 0.010158472
32 0.95102036 2.3959184 0.004266558 0.00736951
33 0.9428571 3.281633 0.004266558 0.009807543
34 0.95918363 2.240816 0.004340438 0.0077758487
35 1.032653 3.0040817 0.004672897 0.009548964
36 1.0122448 1.832653 0.0045251376 0.0071663405
37 1.1795919 3.2775512 0.0053378153 0.010361642
38 1.1265306 4.2285714 0.005097706 0.011617598
39 1.0448979 2.665306 0.004691367 0.008662406
40 1.0163265 2.0734694 0.0045990176 0.008200658
41 0.97959185 2.334694 0.0044327877 0.007683499
42 0.9428571 3.9102042 0.004266558 0.012282516
43 0.95102036 3.4 0.004248088 0.010029183
44 1.2 1.9346939 0.005430165 0.007646559
45 0.9959184 3.2775512 0.0045066676 0.011026559
46 1.0489796 2.510204 0.004746777 0.008717816
47 1.0653061 2.6 0.004765247 0.007683499
48 1.0122448 3.9755101 0.0045805476 0.012042407
49 0.97959185 1.6408163 0.0044327877 0.0065753018
50 1.0040816 2.7836735 0.0045436076 0.008717816
51 0.9632653 2.2816327 0.004358908 0.007683499
52 1.1020408 2.0734694 0.0049868864 0.008071368
53 1.1306121 2.3632653 0.005079236 0.009198035
54 1.0897958 3.1387756 0.0049314764 0.009308854
55 0.922449 2.6163263 0.0041742087 0.008588526
56 1.0367347 2.2489796 0.004691367 0.008145248
57 0.9836734 2.212245 0.0044512576 0.0082930075
58 1.089796 2.1061225 0.0049314764 0.00729563
59 1.2489794 2.9877548 0.0056518046 0.010250822
60 0.9877551 2.1061225 0.0044697276 0.008126778
61 0.97551024 3.6612246 0.0044143177 0.011857707
62 0.99183667 3.3265305 0.0044881976 0.011746888
63 1.0244898 1.9755102 0.0045990176 0.007942079
64 0.94285715 2.8163264 0.004266558 0.008052898
65 1.0040816 1.9591838 0.0044697276 0.00733257
66 1.1346939 2.453061 0.005134646 0.0084222965
67 0.8979592 3.3142855 0.004063389 0.010453992
68 1.0367346 3.3469386 0.004691367 0.0107310405
69 1.0040817 1.6653062 0.0045436076 0.0065937717
70 0.8938775 2.6285715 0.004026449 0.009419674
71 0.97959185 3.6938775 0.0044327877 0.011081969
72 0.97551024 2.8693879 0.004377378 0.008957925
73 1.0367347 2.379592 0.004691367 0.007942079
74 1.0285715 2.2285714 0.0045990176 0.007646559
75 0.9183673 3.3428574 0.0041557387 0.009198035
76 1.0612245 1.889796 0.004802187 0.006815411
77 1.0408163 5.3469386 0.004691367 0.013593882
78 1.032653 2.5428572 0.004672897 0.008791696
79 1.0653061 1.787755 0.004820657 0.0065014223
80 0.9918368 2.3265305 0.0044881976 0.0077573787
81 0.9877551 2.9795918 0.0044697276 0.008625466
82 0.9714286 1.6775509 0.004395848 0.0060950834
83 0.9714285 2.4040816 0.004395848 0.0082745375
84 0.9877551 2.4775507 0.0044697276 0.007683499
85 0.9387755 2.7020407 0.004248088 0.008680876
86 1.1918367 2.8244898 0.0053932252 0.009585904
87 0.9387755 2.6285715 0.004248088 0.008126778
88 1.0285715 2.102041 0.004635957 0.0077573787
89 1.3551021 2.2163267 0.0061135534 0.009678253
90 0.9959184 2.3469386 0.0045066676 0.008570056
91 1.0530612 2.812245 0.004765247 0.008994865
92 0.9428572 2.2612245 0.0042296182 0.0065383622
93 1.1877551 3.1591837 0.0053747552 0.011285139
94 0.97959185 2.9591837 0.0044327877 0.010269292
95 1.0 2.7591836 0.0045251376 0.009087215
