# Boundary attack with validation_dataset(4708 images)
# and metrics using model_dataset(54142)
# Model_dataset & validation set: density: 1.0169499
# Model_dataset & validation adv (4708): density: 2.7256584
# Model_dataset & validation set: coverage: 0.34394738
# Model_dataset & validation adv (4708): coverage: 0.2428983
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 1.0433334 2.674667 0.028462192 0.034668095
1 0.97333336 3.1486666 0.026356617 0.03592405
2 1.0346668 2.7013335 0.028203612 0.03573935
3 0.99066675 2.8886669 0.026984597 0.033652246
4 0.99200004 2.4913335 0.027021537 0.033855416
5 0.9653334 2.520667 0.026208859 0.031546675
6 1.0493333 2.790667 0.028628422 0.034335636
7 1.0413333 3.0893335 0.028665362 0.035647
8 1.0400001 2.4546669 0.028609952 0.03331979
9 1.0486667 2.4573333 0.028646892 0.034446456
10 1.006 2.6566668 0.027058477 0.0363858
11 0.976 3.0126667 0.026652137 0.034317166
12 1.006 2.8053334 0.027649514 0.034797385
13 0.998 2.522 0.027446344 0.031251155
14 1.0873334 2.386667 0.02958886 0.03536995
