# Boundary attack with validation_dataset(4708 images)
# and metrics using model_dataset(54142)
# Model_dataset & validation set: density: 1.0169499
# Model_dataset & validation adv (4708): density: 2.7256584
# Model_dataset & validation set: coverage: 0.34394738
# Model_dataset & validation adv (4708): coverage: 0.2428983
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.954 2.5500002 0.017361753 0.024768202
1 1.107 2.742 0.020187655 0.026448967
2 0.964 3.205 0.017583393 0.027317055
3 0.96199995 2.643 0.017601863 0.026615197
4 1.071 2.9490001 0.019652026 0.027427875
5 1.005 2.716 0.01832219 0.024620442
6 1.0159999 2.388 0.018543828 0.025211481
7 0.93100005 2.673 0.016973883 0.024842082
8 0.989 2.6560004 0.01789738 0.024675852
9 1.084 3.002 0.019781316 0.027353995
10 1.018 2.8289998 0.018617708 0.027076947
11 1.034 3.0359998 0.018987108 0.027243175
12 1.016 2.13 0.018746998 0.023272136
13 1.038 2.6390002 0.019060988 0.02552547
14 1.0790001 2.399 0.019725906 0.02558088
15 0.98100007 2.642 0.01769421 0.026467437
16 1.022 2.8779998 0.018673118 0.026689077
17 0.96999997 2.73 0.01773115 0.025174541
18 0.9959999 2.9669998 0.01832219 0.026892247
19 1.0279999 2.341 0.018802408 0.022607218
20 0.98199993 2.5640001 0.01804514 0.022958146
21 1.1159999 2.488 0.020316944 0.025987219
22 1.009 2.595 0.018488418 0.026670607
