# Boundary attack with validation_dataset(5359 images)
# and metrics using model_dataset(30547)
# Model_dataset & validation set: density: 0.83190894
# Model_dataset & validation adv (5359): density: 10.122859
# Model_dataset & validation set: coverage: 0.4988706
# Model_dataset & validation adv (5359): coverage: 0.65882087
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.51040006 6.136801 0.020853112 0.121517666
1 0.5104 8.370399 0.020656694 0.122532494
2 0.3368 14.606401 0.013585622 0.20113268
3 0.79440004 11.288801 0.03181982 0.22876224
4 0.92480004 11.3776 0.037679642 0.15140603
5 0.33840004 11.614401 0.013683831 0.22201854
6 0.62160003 9.676801 0.024617802 0.15539987
7 1.1784002 11.236 0.04763152 0.14623368
8 0.74 8.230401 0.029822897 0.18699054
9 0.58720005 6.6584005 0.023930337 0.17199725
10 1.3224001 11.436801 0.053753234 0.23062822
11 1.2304001 10.748801 0.04753331 0.2467018
12 0.6688 9.232001 0.02720398 0.2103971
13 0.9960001 12.5392 0.04026582 0.23157758
14 1.4672002 11.6048 0.05886012 0.19956134
15 0.7352001 7.7568007 0.029561006 0.1616198
16 0.79600006 13.772801 0.032212656 0.20633778
17 1.1256001 6.6207995 0.04576554 0.16515534
18 0.86640006 11.772 0.03450421 0.20826922
19 0.55680007 8.724 0.02262088 0.18221103
20 1.3408002 8.612802 0.05316398 0.2071562
