# FGSM attack with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon in batches of 100 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
1.597999811172485352e+00 2.501063980162143707e-02
1.971999883651733398e+00 3.073951601982116699e-02
2.267999887466430664e+00 3.568271920084953308e-02
2.410000085830688477e+00 3.803974390029907227e-02
4.116000175476074219e+00 5.313124135136604309e-02
5.177999973297119141e+00 6.124987825751304626e-02
6.171999454498291016e+00 7.051429152488708496e-02
6.769999980926513672e+00 7.902576774358749390e-02
7.468000411987304688e+00 8.851933479309082031e-02
8.687998771667480469e+00 1.009264439344406128e-01
1.096199893951416016e+01 1.132353469729423523e-01
1.393199920654296875e+01 1.211575642228126526e-01
1.581799983978271484e+01 1.267227530479431152e-01
1.707600021362304688e+01 1.318623721599578857e-01
1.909399986267089844e+01 1.464955657720565796e-01
2.107999992370605469e+01 1.598847657442092896e-01
7.560000419616699219e-01 1.234163809567689896e-02
7.599999904632568359e-01 1.077028829604387283e-02
8.899999856948852539e-01 9.559039957821369171e-03
1.338000178337097168e+00 1.070481538772583008e-02
1.979999899864196777e+00 1.345467660576105118e-02
2.509999990463256836e+00 1.672832109034061432e-02
3.003999948501586914e+00 1.839787885546684265e-02
3.665999889373779297e+00 2.140963077545166016e-02
4.341999530792236328e+00 2.579631470143795013e-02
4.789999961853027344e+00 2.779323793947696686e-02
4.644000053405761719e+00 2.798965573310852051e-02
5.267999172210693359e+00 3.080498985946178436e-02
6.782000064849853516e+00 4.448882117867469788e-02
8.113999366760253906e+00 5.237830430269241333e-02
8.389999389648437500e+00 5.601204931735992432e-02
8.637999534606933594e+00 6.059515103697776794e-02
8.673998832702636719e+00 6.553835421800613403e-02
8.026000022888183594e+00 6.989230215549468994e-02
6.786000251770019531e+00 7.195469737052917480e-02
6.765999794006347656e+00 7.440992444753646851e-02
8.400000333786010742e-01 1.319278497248888016e-02
8.120000958442687988e-01 1.204700954258441925e-02
9.940000772476196289e-01 1.348741352558135986e-02
1.524000167846679688e+00 2.049301192164421082e-02
1.744000077247619629e+00 2.121321298182010651e-02
1.876000046730041504e+00 2.196615189313888550e-02
2.003999948501586914e+00 2.471601217985153198e-02
2.101999998092651367e+00 2.769502811133861542e-02
3.972000122070312500e+00 3.869447112083435059e-02
5.809999942779541016e+00 4.347399249672889709e-02
7.753999233245849609e+00 5.260745808482170105e-02
1.002199935913085938e+01 6.210102513432502747e-02
1.196000099182128906e+01 7.025239616632461548e-02
1.391399860382080078e+01 7.666873931884765625e-02
1.566800022125244141e+01 8.285592496395111084e-02
1.743400192260742188e+01 9.048351645469665527e-02
1.925000000000000000e+01 1.028251573443412781e-01
2.055199813842773438e+01 1.120568364858627319e-01
2.170800018310546875e+01 1.251841485500335693e-01
2.207199859619140625e+01 1.372311562299728394e-01
1.843999862670898438e+00 2.988836914300918579e-02
1.685999870300292969e+00 2.730219066143035889e-02
1.118000030517578125e+00 1.803777739405632019e-02
8.760000467300415039e-01 1.381477713584899902e-02
1.100000023841857910e+00 1.754673197865486145e-02
1.232000112533569336e+00 1.875798031687736511e-02
1.396000027656555176e+00 2.190067805349826813e-02
1.396000027656555176e+00 2.222804166376590729e-02
1.445999741554260254e+00 2.288277074694633484e-02
1.551999926567077637e+00 2.425770089030265808e-02
1.689999818801879883e+00 2.556715905666351318e-02
2.740000009536743164e+00 3.984024748206138611e-02
3.673999786376953125e+00 4.939928650856018066e-02
4.455999851226806641e+00 5.748518928885459900e-02
5.065999984741210938e+00 6.226470693945884705e-02
7.197999000549316406e+00 7.061249762773513794e-02
8.982000350952148438e+00 7.666873931884765625e-02
1.028999996185302734e+01 8.229941129684448242e-02
1.114400005340576172e+01 8.495105803012847900e-02
1.199599933624267578e+01 9.310243278741836548e-02
6.280000209808349609e-01 1.024650596082210541e-02
6.579999923706054688e-01 1.031197886914014816e-02
7.419999241828918457e-01 1.152322627604007721e-02
7.879999279975891113e-01 1.191606372594833374e-02
8.379999995231628418e-01 1.204700954258441925e-02
1.051999926567077637e+00 1.528791710734367371e-02
1.194000005722045898e+00 1.767767779529094696e-02
1.145999908447265625e+00 1.790683157742023468e-02
2.345999956130981445e+00 2.870985679328441620e-02
3.109999895095825195e+00 3.113235346972942352e-02
4.196000099182128906e+00 3.525714576244354248e-02
4.973999500274658203e+00 3.964382782578468323e-02
5.884000301361083984e+00 4.524175822734832764e-02
7.288000106811523438e+00 5.571741983294487000e-02
9.451999664306640625e+00 6.927030533552169800e-02
1.148799991607666016e+01 8.092448115348815918e-02
1.311200046539306641e+01 9.418273717164993286e-02
1.430399894714355469e+01 1.078665703535079956e-01
1.554999923706054688e+01 1.215176656842231750e-01
1.647199821472167969e+01 1.334992051124572754e-01
3.040000200271606445e-01 4.975938703864812851e-03
5.260000228881835938e-01 8.609683252871036530e-03
7.939999699592590332e-01 1.273447461426258087e-02
6.540001034736633301e-01 1.008282322436571121e-02
7.899999618530273438e-01 1.175238192081451416e-02
8.020001053810119629e-01 1.188332773745059967e-02
8.640000224113464355e-01 1.289815735071897507e-02
6.599999666213989258e-01 1.031197886914014816e-02
1.218000054359436035e+00 1.911807991564273834e-02
2.267999887466430664e+00 2.730219066143035889e-02
3.787999868392944336e+00 3.319475054740905762e-02
5.072000026702880859e+00 3.898910060524940491e-02
6.194000244140625000e+00 4.543817788362503052e-02
7.532000064849853516e+00 5.516090244054794312e-02
9.394000053405761719e+00 6.583297997713088989e-02
1.204199886322021484e+01 8.082626760005950928e-02
1.442800045013427734e+01 9.297148883342742920e-02
1.631999969482421875e+01 1.057386994361877441e-01
1.758200073242187500e+01 1.189314872026443481e-01
1.842199897766113281e+01 1.318296492099761963e-01
5.299999713897705078e-01 8.642420172691345215e-03
6.439999938011169434e-01 1.044292468577623367e-02
7.779999971389770508e-01 1.263626571744680405e-02
9.820001125335693359e-01 1.597538217902183533e-02
1.204000115394592285e+00 1.934723556041717529e-02
1.279999971389770508e+00 2.049301192164421082e-02
1.407999992370605469e+00 2.199888788163661957e-02
1.633999943733215332e+00 2.497790381312370300e-02
1.813999891281127930e+00 2.746587246656417847e-02
2.169999837875366211e+00 3.303106874227523804e-02
2.667999744415283203e+00 4.223000630736351013e-02
3.327999830245971680e+00 5.126526579260826111e-02
4.255999565124511719e+00 5.994042009115219116e-02
5.670000076293945312e+00 6.910662353038787842e-02
7.361999511718750000e+00 7.647231966257095337e-02
9.029999732971191406e+00 8.387076109647750854e-02
1.097399997711181641e+01 9.414999932050704956e-02
1.295799922943115234e+01 1.018103286623954773e-01
1.444799900054931641e+01 1.074082553386688232e-01
1.594799995422363281e+01 1.157560497522354126e-01
2.760000228881835938e-01 4.517628811299800873e-03
3.080000281333923340e-01 5.041411612182855606e-03
4.440000057220458984e-01 7.267489563673734665e-03
5.460000038146972656e-01 8.937047794461250305e-03
7.080000042915344238e-01 1.158869918435811996e-02
8.120000362396240234e-01 1.329099480062723160e-02
8.299999833106994629e-01 1.352014951407909393e-02
9.940000176429748535e-01 1.620453782379627228e-02
1.485999703407287598e+00 2.429043874144554138e-02
2.019999742507934570e+00 3.306380286812782288e-02
2.307999849319458008e+00 3.771238029003143311e-02
2.698000192642211914e+00 4.393230378627777100e-02
3.210000038146972656e+00 5.224735662341117859e-02
3.727999687194824219e+00 6.079156696796417236e-02
4.047999858856201172e+00 6.619308143854141235e-02
4.325999736785888672e+00 7.074344903230667114e-02
4.555999755859375000e+00 7.444266229867935181e-02
5.375999450683593750e+00 8.112090080976486206e-02
5.524000167846679688e+00 7.817462086677551270e-02
5.722000122070312500e+00 7.774904370307922363e-02
6.600000858306884766e-01 1.077028829604387283e-02
4.839999973773956299e-01 7.889482192695140839e-03
3.820000290870666504e-01 6.154450587928295135e-03
6.460000276565551758e-01 1.031197886914014816e-02
5.839999914169311523e-01 9.329885244369506836e-03
5.860000252723693848e-01 9.329885244369506836e-03
6.060000061988830566e-01 9.722722694277763367e-03
6.120000481605529785e-01 9.657249785959720612e-03
6.080000400543212891e-01 9.886404499411582947e-03
5.320000052452087402e-01 8.413264527916908264e-03
7.959999442100524902e-01 1.188332773745059967e-02
1.013999938964843750e+00 1.525518111884593964e-02
1.220000028610229492e+00 1.807051524519920349e-02
1.445999860763549805e+00 2.091858536005020142e-02
1.963999867439270020e+00 2.906995825469493866e-02
2.171999692916870117e+00 3.362032398581504822e-02
3.039999961853027344e+00 4.003666713833808899e-02
4.841999530792236328e+00 4.353946447372436523e-02
6.195999622344970703e+00 4.802435636520385742e-02
7.415999412536621094e+00 5.414607003331184387e-02
8.440001010894775391e-01 1.309457607567310333e-02
1.384000062942504883e+00 1.450224313884973526e-02
1.932000041007995605e+00 1.640095561742782593e-02
1.419999957084655762e+00 1.518970821052789688e-02
1.527999997138977051e+00 1.532065402716398239e-02
1.527999997138977051e+00 1.597538217902183533e-02
1.709999918937683105e+00 1.646642945706844330e-02
1.606000065803527832e+00 1.905260793864727020e-02
1.797999978065490723e+00 2.039480209350585938e-02
2.753999948501586914e+00 2.641830593347549438e-02
3.338000059127807617e+00 3.080498985946178436e-02
4.500000000000000000e+00 3.695943951606750488e-02
6.259999275207519531e+00 4.560185968875885010e-02
7.901999950408935547e+00 5.578289180994033813e-02
9.812000274658203125e+00 6.606213748455047607e-02
1.445399856567382812e+01 8.184109628200531006e-02
1.792799949645996094e+01 9.362621605396270752e-02
2.126799964904785156e+01 1.069826856255531311e-01
2.398600006103515625e+01 1.230235397815704346e-01
2.643200111389160156e+01 1.373293697834014893e-01
7.419999241828918457e-01 1.188332773745059967e-02
7.779999971389770508e-01 1.257079280912876129e-02
8.180000185966491699e-01 1.260352879762649536e-02
7.960000634193420410e-01 1.185059081763029099e-02
8.319999575614929199e-01 1.194880064576864243e-02
8.899999856948852539e-01 1.168690901249647141e-02
9.179999828338623047e-01 1.178511790931224823e-02
7.980000376701354980e-01 1.054113358259201050e-02
1.092000126838684082e+00 1.407666876912117004e-02
2.995999574661254883e+00 2.402854710817337036e-02
4.067999839782714844e+00 2.897174842655658722e-02
5.369999885559082031e+00 3.578092902898788452e-02
6.851999282836914062e+00 4.471797496080398560e-02
8.885999679565429688e+00 5.715782195329666138e-02
1.096600055694580078e+01 6.976135075092315674e-02
1.381999969482421875e+01 8.046616613864898682e-02
1.663199996948242188e+01 9.113825112581253052e-02
1.854400062561035156e+01 1.021049544215202332e-01
2.011599922180175781e+01 1.145448014140129089e-01
2.167200088500976562e+01 1.302255541086196899e-01
1.036000013351440430e+00 1.623727381229400635e-02
2.133999824523925781e+00 2.517432160675525665e-02
2.013999938964843750e+00 2.478148415684700012e-02
1.406000018119812012e+00 1.928176358342170715e-02
9.200000762939453125e-01 1.404393278062343597e-02
8.980000019073486328e-01 1.335646770894527435e-02
1.017999887466430664e+00 1.518970821052789688e-02
1.185999870300292969e+00 1.797230541706085205e-02
2.073999881744384766e+00 3.211444616317749023e-02
2.839999914169311523e+00 3.984024748206138611e-02
