# FGSM attack with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon in batches of 100 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
1.315999984741210938e+00 2.144236862659454346e-02
1.329999923706054688e+00 2.160605043172836304e-02
1.332000136375427246e+00 2.167152240872383118e-02
1.333999872207641602e+00 2.170426025986671448e-02
1.407999992370605469e+00 2.294824458658695221e-02
1.589999914169311523e+00 2.592726051807403564e-02
1.651999950408935547e+00 2.684388123452663422e-02
1.745999813079833984e+00 2.838249318301677704e-02
1.815999984741210938e+00 2.956100553274154663e-02
1.871999740600585938e+00 3.044488839805126190e-02
1.787999987602233887e+00 2.916816808283329010e-02
1.638000011444091797e+00 2.671293541789054871e-02
1.329999923706054688e+00 2.173699624836444855e-02
8.980000019073486328e-01 1.466592494398355484e-02
5.700000524520874023e-01 9.297149255871772766e-03
4.679999947547912598e-01 7.398435380309820175e-03
4.699999988079071045e-01 6.907388567924499512e-03
5.140000581741333008e-01 7.267489563673734665e-03
4.779999852180480957e-01 7.693063467741012573e-03
8.840000033378601074e-01 1.394572295248508453e-02
1.198000073432922363e+00 1.852882467210292816e-02
1.246000051498413086e+00 1.849608868360519409e-02
1.362000107765197754e+00 1.879071630537509918e-02
1.628000020980834961e+00 2.095132134854793549e-02
2.167999982833862305e+00 2.612367831170558929e-02
2.838000059127807617e+00 3.168887272477149963e-02
3.633999824523925781e+00 3.820342570543289185e-02
4.497999668121337891e+00 4.619111493229866028e-02
5.441999912261962891e+00 5.427701771259307861e-02
6.302000045776367188e+00 6.157724186778068542e-02
6.748000144958496094e+00 6.481815129518508911e-02
7.291999340057373047e+00 6.825547665357589722e-02
7.722000122070312500e+00 7.021966576576232910e-02
7.912000179290771484e+00 6.838642060756683350e-02
8.449999809265136719e+00 7.064523547887802124e-02
9.148000717163085938e+00 7.529380917549133301e-02
9.157999038696289062e+00 7.801093906164169312e-02
8.727998733520507812e+00 7.532654702663421631e-02
3.359999656677246094e-01 5.499721970409154892e-03
8.820000290870666504e-01 1.175238192081451416e-02
1.175999999046325684e+00 1.492781657725572586e-02
1.311999917030334473e+00 1.663011126220226288e-02
1.607999801635742188e+00 2.042753808200359344e-02
1.959999918937683105e+00 2.409401908516883850e-02
2.383999824523925781e+00 2.920090407133102417e-02
2.791999816894531250e+00 3.489704430103302002e-02
3.335999727249145508e+00 4.262284561991691589e-02
3.953999519348144531e+00 5.041411519050598145e-02
4.905999660491943359e+00 5.656856670975685120e-02
5.687999725341796875e+00 6.039873138070106506e-02
5.855999469757080078e+00 6.098798662424087524e-02
5.549999713897705078e+00 5.958031862974166870e-02
4.923999786376953125e+00 5.594657361507415771e-02
4.428000450134277344e+00 5.476806312799453735e-02
4.419999599456787109e+00 5.781255289912223816e-02
4.641999721527099609e+00 6.301764398813247681e-02
4.735999584197998047e+00 6.527645885944366455e-02
4.656000614166259766e+00 6.318132579326629639e-02
2.540000081062316895e-01 4.124791361391544342e-03
5.799999833106994629e-01 9.362622164189815521e-03
8.400000333786010742e-01 1.329099480062723160e-02
9.160000681877136230e-01 1.479687076061964035e-02
1.049999952316284180e+00 1.705568470060825348e-02
1.266000032424926758e+00 2.059121988713741302e-02
1.543999910354614258e+00 2.504337579011917114e-02
1.941999912261962891e+00 3.119782730937004089e-02
2.319999694824218750e+00 3.712312132120132446e-02
2.823999881744384766e+00 4.484892264008522034e-02
3.301999807357788086e+00 5.224735662341117859e-02
3.733999490737915039e+00 5.777981504797935486e-02
3.865999937057495117e+00 5.843454599380493164e-02
3.947999715805053711e+00 5.813991650938987732e-02
3.939999818801879883e+00 5.640488490462303162e-02
3.689999580383300781e+00 5.208367481827735901e-02
3.691999673843383789e+00 5.191999301314353943e-02
3.981999397277832031e+00 5.663403868675231934e-02
4.244000434875488281e+00 6.128261610865592957e-02
4.091999530792236328e+00 5.902380123734474182e-02
7.740000486373901367e-01 1.263626571744680405e-02
1.312000036239624023e+00 2.108226716518402100e-02
1.724000096321105957e+00 2.704029902815818787e-02
1.777999877929687500e+00 2.704029902815818787e-02
1.707999944686889648e+00 2.465053834021091461e-02
1.752000093460083008e+00 2.386486530303955078e-02
1.864000201225280762e+00 2.298098057508468628e-02
2.245999813079833984e+00 2.543621324002742767e-02
2.671999692916870117e+00 2.772776409983634949e-02
3.093999862670898438e+00 3.057583421468734741e-02
3.435999631881713867e+00 3.276917710900306702e-02
3.749999523162841797e+00 3.551903739571571350e-02
4.029999732971191406e+00 3.817068785429000854e-02
4.374000072479248047e+00 4.170622304081916809e-02
4.776000022888183594e+00 4.547091573476791382e-02
5.366000175476074219e+00 5.149441957473754883e-02
6.237998962402343750e+00 6.033325940370559692e-02
7.039999961853027344e+00 6.760074943304061890e-02
7.191999912261962891e+00 6.910662353038787842e-02
6.914000034332275391e+00 6.665138900279998779e-02
6.280000209808349609e-01 1.024650596082210541e-02
1.022000074386596680e+00 1.460045203566551208e-02
1.575999975204467773e+00 1.558254566043615341e-02
1.919999957084655762e+00 1.397845987230539322e-02
2.543999910354614258e+00 1.587717235088348389e-02
3.337999820709228516e+00 1.816872321069240570e-02
3.945999622344970703e+00 2.006743662059307098e-02
4.633999347686767578e+00 2.291550859808921814e-02
5.101999282836914062e+00 2.569810487329959869e-02
6.369999885559082031e+00 3.244181349873542786e-02
7.745998382568359375e+00 3.898910060524940491e-02
8.857999801635742188e+00 4.439061135053634644e-02
8.942000389099121094e+00 4.795888438820838928e-02
8.602000236511230469e+00 4.933381453156471252e-02
7.361999511718750000e+00 4.864634945988655090e-02
5.257998943328857422e+00 4.353946447372436523e-02
3.273999929428100586e+00 3.686122968792915344e-02
2.355999946594238281e+00 3.257275745272636414e-02
2.190000057220458984e+00 3.332569450139999390e-02
2.241999864578247070e+00 3.414410725235939026e-02
9.240000844001770020e-01 1.446950621902942657e-02
1.128000020980834961e+00 1.669558510184288025e-02
1.690000057220458984e+00 2.386486530303955078e-02
2.176000118255615234e+00 2.831701934337615967e-02
2.511999845504760742e+00 2.890627644956111908e-02
2.901999950408935547e+00 2.864438481628894806e-02
3.803999662399291992e+00 3.479883447289466858e-02
5.167999267578125000e+00 4.484892264008522034e-02
6.579999923706054688e+00 5.277113988995552063e-02
7.980000019073486328e+00 5.692866817116737366e-02
9.059999465942382812e+00 5.967852845788002014e-02
9.769999504089355469e+00 6.016957759857177734e-02
1.003199958801269531e+01 6.072609499096870422e-02
1.026399993896484375e+01 5.974400043487548828e-02
1.031000137329101562e+01 5.653583258390426636e-02
1.075000000000000000e+01 5.843454599380493164e-02
1.181999969482421875e+01 6.442531198263168335e-02
1.304600048065185547e+01 7.107081264257431030e-02
1.317600059509277344e+01 7.260942459106445312e-02
1.275000000000000000e+01 6.930304318666458130e-02
1.709999918937683105e+00 2.798965573310852051e-02
1.919999837875366211e+00 3.139424696564674377e-02
1.569999933242797852e+00 2.523979544639587402e-02
1.160000085830688477e+00 1.839787885546684265e-02
1.111999988555908203e+00 1.774314977228641510e-02
1.283999919891357422e+00 2.046027407050132751e-02
1.401999950408935547e+00 2.216256968677043915e-02
1.529999852180480957e+00 2.399581111967563629e-02
1.701999783515930176e+00 2.612367831170558929e-02
2.089999914169311523e+00 3.204897418618202209e-02
2.609999895095825195e+00 3.885815292596817017e-02
3.133999824523925781e+00 4.533996805548667908e-02
3.476000070571899414e+00 4.822077602148056030e-02
3.588000059127807617e+00 4.802435636520385742e-02
3.502000093460083008e+00 4.560185968875885010e-02
3.095999717712402344e+00 3.918551653623580933e-02
2.767999887466430664e+00 3.391494974493980408e-02
2.746000051498413086e+00 3.142698109149932861e-02
2.700000047683715820e+00 3.080498985946178436e-02
2.737999916076660156e+00 3.168887272477149963e-02
5.320000052452087402e-01 8.609683252871036530e-03
7.980000376701354980e-01 1.289815735071897507e-02
1.199999928474426270e+00 1.934723556041717529e-02
1.406000018119812012e+00 2.239172533154487610e-02
1.481999993324279785e+00 2.327560819685459137e-02
1.393999934196472168e+00 2.118047699332237244e-02
1.407999992370605469e+00 1.996922865509986877e-02
1.703999876976013184e+00 2.275182493031024933e-02
2.155999898910522461e+00 2.756408229470252991e-02
2.673999786376953125e+00 3.195076435804367065e-02
3.147999763488769531e+00 3.558450937271118164e-02
3.493999958038330078e+00 3.826889768242835999e-02
3.819999933242797852e+00 4.170622304081916809e-02
4.103999614715576172e+00 4.540544003248214722e-02
4.394000053405761719e+00 4.939928650856018066e-02
4.783999919891357422e+00 5.630667507648468018e-02
5.394000053405761719e+00 6.557109206914901733e-02
5.855998992919921875e+00 7.342783361673355103e-02
5.883999347686767578e+00 7.509738951921463013e-02
5.807999610900878906e+00 7.251121103763580322e-02
2.440000027418136597e-01 3.993845544755458832e-03
4.079999923706054688e-01 6.678233854472637177e-03
5.299999713897705078e-01 8.315055631101131439e-03
5.819999575614929199e-01 9.100730530917644501e-03
6.719999313354492188e-01 9.853668510913848877e-03
8.360000252723693848e-01 1.162143610417842865e-02
1.099999904632568359e+00 1.401119586080312729e-02
1.482000112533569336e+00 1.751399599015712738e-02
2.021999835968017578e+00 2.196615189313888550e-02
2.587999820709228516e+00 2.615641616284847260e-02
3.319999933242797852e+00 3.018299676477909088e-02
3.977999687194824219e+00 3.414410725235939026e-02
4.459999561309814453e+00 3.790879622101783752e-02
4.878000259399414062e+00 4.203358665108680725e-02
5.231999397277832031e+00 4.684584587812423706e-02
5.515999794006347656e+00 5.064327269792556763e-02
6.170000076293945312e+00 5.843454599380493164e-02
6.642000198364257812e+00 6.527645885944366455e-02
7.039999961853027344e+00 7.038334757089614868e-02
7.389999866485595703e+00 7.293678820133209229e-02
4.259999990463256836e-01 6.940125022083520889e-03
4.859999716281890869e-01 7.889482192695140839e-03
7.340000867843627930e-01 1.194880064576864243e-02
9.760000109672546387e-01 1.581170037388801575e-02
1.098000049591064453e+00 1.780862361192703247e-02
1.197999954223632812e+00 1.915081776678562164e-02
1.365999698638916016e+00 2.137689478695392609e-02
1.642000079154968262e+00 2.517432160675525665e-02
1.931999802589416504e+00 2.870985679328441620e-02
2.503999948501586914e+00 3.673028573393821716e-02
3.164000272750854492e+00 4.547091573476791382e-02
3.728000164031982422e+00 5.208367481827735901e-02
4.072000026702880859e+00 5.480080097913742065e-02
4.263999938964843750e+00 5.558647587895393372e-02
4.203999996185302734e+00 5.303303152322769165e-02
3.943999767303466797e+00 4.808982834219932556e-02
3.708000421524047852e+00 4.412871971726417542e-02
3.782000064849853516e+00 4.507807642221450806e-02
3.917999982833862305e+00 4.900645092129707336e-02
4.148000240325927734e+00 5.421154573559761047e-02
3.019999861717224121e-01 4.943202249705791473e-03
5.000000000000000000e-01 8.184109814465045929e-03
6.299999952316284180e-01 1.027924194931983948e-02
8.120000362396240234e-01 1.329099480062723160e-02
9.940000176429748535e-01 1.627000980079174042e-02
1.226000070571899414e+00 2.003470063209533691e-02
1.495999932289123535e+00 2.445412054657936096e-02
1.817999720573425293e+00 2.972468733787536621e-02
2.145999908447265625e+00 3.509346395730972290e-02
2.607999801635742188e+00 4.262284561991691589e-02
3.057999849319458008e+00 4.995580762624740601e-02
3.389999866485595703e+00 5.539005622267723083e-02
3.395999908447265625e+00 5.552100017666816711e-02
3.480000257492065430e+00 5.686319619417190552e-02
3.353999853134155273e+00 5.480080097913742065e-02
3.029999971389770508e+00 4.956296831369400024e-02
2.953999757766723633e+00 4.831898584961891174e-02
