# FGSM attack with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon in batches of 100 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
1.222000122070312500e+00 1.117431931197643280e-02
1.118000030517578125e+00 1.025082170963287354e-02
9.880000352859497070e-01 9.087215177714824677e-03
8.479999899864196777e-01 7.794318720698356628e-03
6.980000138282775879e-01 6.427542306482791901e-03
5.519999861717224121e-01 5.097705870866775513e-03
4.459999799728393555e-01 4.100328776985406876e-03
3.079999983310699463e-01 2.825902309268712997e-03
2.599999904632568359e-01 2.382623497396707535e-03
1.879999935626983643e-01 1.736175268888473511e-03
1.520000100135803223e-01 1.403716159984469414e-03
1.240000128746032715e-01 1.145136891864240170e-03
1.080000028014183044e-01 9.973772102966904640e-04
1.019999980926513672e-01 9.419674170203506947e-04
1.040000021457672119e-01 9.419674170203506947e-04
9.839999675750732422e-01 9.013335220515727997e-03
1.024000048637390137e+00 9.382734075188636780e-03
1.074000000953674316e+00 9.826012887060642242e-03
1.110000014305114746e+00 1.014000177383422852e-02
1.111999988555908203e+00 1.014000177383422852e-02
1.086000084877014160e+00 9.899892844259738922e-03
1.032000064849853516e+00 9.382734075188636780e-03
9.319999217987060547e-01 8.459236472845077515e-03
8.100000023841857910e-01 7.369509898126125336e-03
7.060000300407409668e-01 6.446012295782566071e-03
5.939999818801879883e-01 5.448635201901197433e-03
5.320000052452087402e-01 4.876066464930772781e-03
4.779999852180480957e-01 4.358908161520957947e-03
5.040000081062316895e-01 4.562077578157186508e-03
5.939999818801879883e-01 5.393225234001874924e-03
6.259999871253967285e-01 5.707214120775461197e-03
7.319999337196350098e-01 6.612241733819246292e-03
8.059998750686645508e-01 7.203279994428157806e-03
9.019999504089355469e-01 8.015957660973072052e-03
1.059999823570251465e+00 9.271914139389991760e-03
9.360000491142272949e-01 8.514646440744400024e-03
1.000000000000000000e+00 9.105685167014598846e-03
1.054000020027160645e+00 9.585903957486152649e-03
1.085999965667724609e+00 9.881422854959964752e-03
1.085999965667724609e+00 9.881422854959964752e-03
1.044000029563903809e+00 9.475084021687507629e-03
9.739999175071716309e-01 8.828635327517986298e-03
9.039999246597290039e-01 8.163717575371265411e-03
7.999999523162841797e-01 7.221749983727931976e-03
6.819999814033508301e-01 6.205902900546789169e-03
5.900000333786010742e-01 5.356285255402326584e-03
4.599999785423278809e-01 4.211148247122764587e-03
3.680000305175781250e-01 3.361530834808945656e-03
3.019999861717224121e-01 2.733552595600485802e-03
2.599999904632568359e-01 2.327213529497385025e-03
2.279999852180480957e-01 2.050164388492703438e-03
2.040000110864639282e-01 1.846994971856474876e-03
2.299999892711639404e-01 2.031694399192929268e-03
2.360000014305114746e-01 1.976284664124250412e-03
2.619999945163726807e-01 2.105574123561382294e-03
9.919999241828918457e-01 9.124155156314373016e-03
1.064000010490417480e+00 9.770602919161319733e-03
1.136000037193298340e+00 1.036164164543151855e-02
1.144000053405761719e+00 1.041705161333084106e-02
1.138000011444091797e+00 1.034317165613174438e-02
1.085999965667724609e+00 9.862952865660190582e-03
1.037999987602233887e+00 9.401204064488410950e-03
9.399999976158142090e-01 8.551586419343948364e-03
8.659999370574951172e-01 7.831258699297904968e-03
7.179999947547912598e-01 6.501422263681888580e-03
6.119999885559082031e-01 5.522514693439006805e-03
5.119999647140502930e-01 4.617487546056509018e-03
4.180000126361846924e-01 3.749399678781628609e-03
3.219999969005584717e-01 2.899782033637166023e-03
2.639999985694885254e-01 2.382623497396707535e-03
2.119999974966049194e-01 1.902404823340475559e-03
1.759999990463256836e-01 1.551475725136697292e-03
1.360000073909759521e-01 1.163606764748692513e-03
1.319999992847442627e-01 1.108196913264691830e-03
1.199999973177909851e-01 9.789073374122381210e-04
9.599999785423278809e-01 8.865575306117534637e-03
1.019999980926513672e+00 9.419674053788185120e-03
1.067999958992004395e+00 9.862952865660190582e-03
1.083999991416931152e+00 9.992242790758609772e-03
1.081999897956848145e+00 9.973772801458835602e-03
1.046000003814697266e+00 9.659783914685249329e-03
9.880000352859497070e-01 9.124155156314373016e-03
9.199999570846557617e-01 8.496176451444625854e-03
8.379999995231628418e-01 7.701968774199485779e-03
6.999999880790710449e-01 6.464482285082340240e-03
5.719999670982360840e-01 5.282405298203229904e-03
