# FGSM attack with model_dataset(20000 images)
# and validation_images(2100) 20 epsilon in batches of (100 images)
# for each epsilon 20 batches so 400 metrics in total
# metrics between model_dataset & adv_validation_dataset
# Model_vali_adv_density Model_vali_adv_coverage
1.166000008583068848e+00 2.864999882876873016e-02
1.304000020027160645e+00 3.184999898076057434e-02
1.319999933242797852e+00 3.224999830126762390e-02
1.216000080108642578e+00 2.969999983906745911e-02
1.049999952316284180e+00 2.575000002980232239e-02
8.359999656677246094e-01 2.039999887347221375e-02
5.780000090599060059e-01 1.399999950081110001e-02
3.440000116825103760e-01 8.349999785423278809e-03
3.180000185966491699e-01 7.599999662488698959e-03
2.759999930858612061e-01 6.550000049173831940e-03
2.259999960660934448e-01 5.399999674409627914e-03
1.860000044107437134e-01 4.399999976158142090e-03
1.459999978542327881e-01 3.449999960139393806e-03
1.260000020265579224e-01 2.849999815225601196e-03
9.799999743700027466e-02 2.149999840185046196e-03
7.599999755620956421e-02 1.549999928101897240e-03
4.999999701976776123e-02 8.499999530613422394e-04
3.999999910593032837e-02 6.500000017695128918e-04
2.999999932944774628e-02 3.999999898951500654e-04
1.090000033378601074e+00 2.694999985396862030e-02
1.294000029563903809e+00 3.184999898076057434e-02
1.399999976158142090e+00 3.429999947547912598e-02
1.388000011444091797e+00 3.390000015497207642e-02
1.289999961853027344e+00 3.154999762773513794e-02
1.138000130653381348e+00 2.764999866485595703e-02
8.939999938011169434e-01 2.159999869763851166e-02
6.419999599456787109e-01 1.554999966174364090e-02
4.040000140666961670e-01 9.800000116229057312e-03
3.599999845027923584e-01 8.650000207126140594e-03
3.340000212192535400e-01 7.849999703466892242e-03
2.900000214576721191e-01 6.699999794363975525e-03
2.560000121593475342e-01 5.649999715387821198e-03
2.160000056028366089e-01 4.499999806284904480e-03
1.759999990463256836e-01 3.499999875202775002e-03
1.499999910593032837e-01 2.799999900162220001e-03
1.059999987483024597e-01 1.899999915622174740e-03
8.400000631809234619e-02 1.500000013038516045e-03
7.000000029802322388e-02 1.249999972060322762e-03
5.600000172853469849e-02 1.049999962560832500e-03
1.133999943733215332e+00 2.795000001788139343e-02
1.339999914169311523e+00 3.299999982118606567e-02
1.435999989509582520e+00 3.525000065565109253e-02
1.442000031471252441e+00 3.525000065565109253e-02
1.363999962806701660e+00 3.314999863505363464e-02
1.166000008583068848e+00 2.834999933838844299e-02
8.999999761581420898e-01 2.204999886453151703e-02
6.000000238418579102e-01 1.449999958276748657e-02
3.720000088214874268e-01 9.099999442696571350e-03
3.299999833106994629e-01 7.999999448657035828e-03
2.939999997615814209e-01 6.949999835342168808e-03
2.520000040531158447e-01 5.799999926239252090e-03
2.079999893903732300e-01 4.650000017136335373e-03
1.879999935626983643e-01 4.050000105053186417e-03
1.459999978542327881e-01 3.000000026077032089e-03
1.220000013709068298e-01 2.399999881163239479e-03
9.399999678134918213e-02 1.799999969080090523e-03
