# Boundary attack with validation_dataset(2100 images)
# and metrics using model_dataset(67000)
# Model_dataset & validation set: density: 1.0072381
# Model_dataset & validation adv (2100): density: 0.15571429
# Model_dataset & validation set: coverage: 0.14238586
# Model_dataset & validation adv (2100): coverage: 0.0047275405
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.9314287 0.17571428 0.009558174 0.001119293
1 1.0114286 0.13142858 0.010353461 0.0008100147
2 1.0014286 0.16857141 0.010220913 0.0009572901
3 1.167143 0.18428572 0.01197349 0.0009867452
4 0.9042858 0.1857143 0.009322533 0.00092783506
5 0.94000006 0.16428572 0.009572902 0.0010456553
6 1.0257143 0.11571429 0.010544919 0.0006480118
7 1.0271429 0.1757143 0.010412371 0.0009425626
8 1.06 0.17285715 0.010854198 0.00097201765
9 1.0657144 0.16857143 0.010913108 0.0010309279
10 0.9914286 0.19 0.010206185 0.00085419737
11 0.99857146 0.111428574 0.010162003 0.0006921944
12 0.92 0.22857143 0.009396171 0.0011782033
13 1.0642859 0.20571429 0.01089838 0.0011782033
14 1.0 0.14428572 0.01023564 0.00085419737
