# Boundary attack with validation_dataset(2100 images)
# and metrics using model_dataset(67000)
# Model_dataset & validation set: density: 1.0072381
# Model_dataset & validation adv (2100): density: 0.15571429
# Model_dataset & validation set: coverage: 0.14238586
# Model_dataset & validation adv (2100): coverage: 0.0047275405
# batch_no model_val_density model_val_adv_density model_val_coverage model_val_adv_coverage
0 0.94285715 0.25952384 0.0057879235 0.00092783506
1 0.9190477 0.10952382 0.0056701032 0.00053019146
2 1.0642858 0.1904762 0.0065832105 0.0007216495
3 0.9333333 0.15476191 0.0057437406 0.00066273933
4 1.0476191 0.15238096 0.006450663 0.0006480118
5 1.1285715 0.1761905 0.0069661266 0.0007069219
6 1.0833334 0.12619048 0.006671576 0.00050073635
7 0.9404762 0.15 0.0058173784 0.0005596465
8 0.93095237 0.08333334 0.0057437406 0.0003976436
9 0.9357143 0.12619048 0.005699558 0.00067746686
10 1.1404762 0.1452381 0.007054492 0.00058910163
11 0.94285715 0.15476191 0.005832106 0.00060382916
12 0.9333334 0.18333334 0.005640648 0.0006921944
13 1.1190476 0.10714286 0.006892489 0.0003681885
14 1.05 0.22142857 0.0064653903 0.00091310753
15 1.0142857 0.17857143 0.0062739323 0.0006185567
16 1.0619048 0.19047618 0.006539028 0.0006921944
17 0.9904762 0.18333334 0.0061266567 0.0006480118
18 1.0142858 0.11428572 0.006259205 0.00042709868
19 1.0142858 0.10952382 0.006215022 0.0005596465
20 1.0261904 0.20714287 0.0063328426 0.00067746686
21 0.8428572 0.11904762 0.005198822 0.00050073635
22 1.0309523 0.20714286 0.0063328426 0.0009572901
23 1.0404761 0.09047619 0.00640648 0.0004418262
24 1.0333334 0.12619048 0.006377025 0.00053019146
