# FGSM attack NewNet model with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon
# 75% mix of adv vali samples random
# Epsilon model_acc Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 1.602910757064819336e-01 8.319089412689208984e-01 4.988706111907958984e-01
5.263157894736841813e-02 7.967907190322875977e-02 1.203396081924438477e+00 5.343568921089172363e-01
1.052631578947368363e-01 6.456428766250610352e-02 1.432132840156555176e+00 5.135037899017333984e-01
1.578947368421052544e-01 5.933940410614013672e-02 1.514685630798339844e+00 4.732379615306854248e-01
2.105263157894736725e-01 5.672699213027954102e-02 1.573091983795166016e+00 4.330703616142272949e-01
2.631578947368420907e-01 5.616718530654907227e-02 1.631946206092834473e+00 4.000720381736755371e-01
3.157894736842105088e-01 5.710017681121826172e-02 1.753498792648315430e+00 3.785969316959381104e-01
3.684210526315789269e-01 5.654036998748779297e-02 1.982758045196533203e+00 3.614430427551269531e-01
4.210526315789473450e-01 5.542081594467163086e-02 2.248553752899169922e+00 3.482175171375274658e-01
4.736842105263157632e-01 5.579400062561035156e-02 2.663108587265014648e+00 3.386257290840148926e-01
5.263157894736841813e-01 5.915284156799316406e-02 3.125657796859741211e+00 3.256948292255401611e-01
5.789473684210526550e-01 6.157863140106201172e-02 3.540921926498413086e+00 3.155138194561004639e-01
6.315789473684210176e-01 6.307148933410644531e-02 3.702332258224487305e+00 3.087700903415679932e-01
6.842105263157893802e-01 6.587052345275878906e-02 3.772718667984008789e+00 3.026483952999114990e-01
7.368421052631578538e-01 7.016235589981079102e-02 3.687105655670166016e+00 2.943333387374877930e-01
7.894736842105263275e-01 7.034891843795776367e-02 3.493300914764404297e+00 2.900448441505432129e-01
8.421052631578946901e-01 7.165515422821044922e-02 3.432058572769165039e+00 2.883425652980804443e-01
8.947368421052630527e-01 7.072216272354125977e-02 3.574846267700195312e+00 2.902085483074188232e-01
9.473684210526315264e-01 7.333457469940185547e-02 3.637917280197143555e+00 2.956427931785583496e-01
1.000000000000000000e+00 7.781302928924560547e-02 3.591528177261352539e+00 2.966248691082000732e-01
