# FGSM attack NewNet model with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon
# 50% mix of adv vali samples random
# Epsilon model_acc Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 1.602910757064819336e-01 8.319089412689208984e-01 4.988706111907958984e-01
5.263157894736841813e-02 7.967907190322875977e-02 1.002425789833068848e+00 5.281042456626892090e-01
1.052631578947368363e-01 6.456428766250610352e-02 1.134726643562316895e+00 5.168429017066955566e-01
1.578947368421052544e-01 5.933940410614013672e-02 1.193468809127807617e+00 4.901954531669616699e-01
2.105263157894736725e-01 5.672699213027954102e-02 1.264153599739074707e+00 4.698661267757415771e-01
2.631578947368420907e-01 5.616718530654907227e-02 1.346669077873229980e+00 4.495695233345031738e-01
3.157894736842105088e-01 5.710017681121826172e-02 1.448217868804931641e+00 4.338232874870300293e-01
3.684210526315789269e-01 5.654036998748779297e-02 1.616197109222412109e+00 4.220709204673767090e-01
4.210526315789473450e-01 5.542081594467163086e-02 1.783093690872192383e+00 4.152289927005767822e-01
4.736842105263157632e-01 5.579400062561035156e-02 2.045306921005249023e+00 4.076341390609741211e-01
5.263157894736841813e-01 5.915284156799316406e-02 2.329725742340087891e+00 3.975513279438018799e-01
5.789473684210526550e-01 6.157863140106201172e-02 2.582235574722290039e+00 3.886142671108245850e-01
6.315789473684210176e-01 6.307148933410644531e-02 2.666355609893798828e+00 3.835074007511138916e-01
6.842105263157893802e-01 6.587052345275878906e-02 2.693599462509155273e+00 3.831800222396850586e-01
7.368421052631578538e-01 7.016235589981079102e-02 2.619966506958007812e+00 3.833109736442565918e-01
7.894736842105263275e-01 7.034891843795776367e-02 2.476917505264282227e+00 3.869774639606475830e-01
8.421052631578946901e-01 7.165515422821044922e-02 2.417726993560791016e+00 3.923134803771972656e-01
8.947368421052630527e-01 7.072216272354125977e-02 2.491099119186401367e+00 3.973221778869628906e-01
9.473684210526315264e-01 7.333457469940185547e-02 2.519649028778076172e+00 4.004976153373718262e-01
1.000000000000000000e+00 7.781302928924560547e-02 2.481022596359252930e+00 4.024617969989776611e-01
