# FGSM attack NewNet model with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon
# 25% mix of adv vali samples random
# Epsilon Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 1.005000948905944824e+00 5.685009956359863281e-01
5.263157894736841813e-02 1.082067489624023438e+00 5.828068256378173828e-01
1.052631578947368363e-01 1.141631007194519043e+00 5.786820054054260254e-01
1.578947368421052544e-01 1.181974411010742188e+00 5.772743821144104004e-01
2.105263157894736725e-01 1.214666962623596191e+00 5.745899677276611328e-01
2.631578947368420907e-01 1.227990388870239258e+00 5.675188899040222168e-01
3.157894736842105088e-01 1.278335571289062500e+00 5.672897696495056152e-01
3.684210526315789269e-01 1.319276094436645508e+00 5.689920186996459961e-01
4.210526315789473450e-01 1.505952477455139160e+00 5.833633542060852051e-01
4.736842105263157632e-01 1.665235996246337891e+00 5.863096117973327637e-01
5.263157894736841813e-01 1.794103503227233887e+00 5.841817259788513184e-01
5.789473684210526550e-01 1.985072016716003418e+00 5.851965546607971191e-01
6.315789473684210176e-01 2.216570138931274414e+00 5.840508341789245605e-01
6.842105263157893802e-01 2.483112812042236328e+00 5.829704999923706055e-01
7.368421052631578538e-01 2.706437826156616211e+00 5.891904234886169434e-01
7.894736842105263275e-01 2.977421283721923828e+00 5.941008925437927246e-01
8.421052631578946901e-01 3.252883195877075195e+00 5.959995985031127930e-01
8.947368421052630527e-01 3.450793266296386719e+00 5.997315645217895508e-01
9.473684210526315264e-01 3.537936210632324219e+00 6.011719703674316406e-01
1.000000000000000000e+00 3.639261245727539062e+00 6.034308075904846191e-01
