# FGSM attack NewNet model with model_dataset(30547 images)
# and validation_images(5359) 20 epsilon
# 50% mix of adv vali samples random
# Epsilon Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 1.005000948905944824e+00 5.685009956359863281e-01
5.263157894736841813e-02 1.083261609077453613e+00 5.552427172660827637e-01
1.052631578947368363e-01 1.132226109504699707e+00 5.203784108161926270e-01
1.578947368421052544e-01 1.188281536102294922e+00 5.059744119644165039e-01
2.105263157894736725e-01 1.263220787048339844e+00 5.010966658592224121e-01
2.631578947368420907e-01 1.304795742034912109e+00 4.956296980381011963e-01
3.157894736842105088e-01 1.389102339744567871e+00 4.954005181789398193e-01
3.684210526315789269e-01 1.449860215187072754e+00 4.936982393264770508e-01
4.210526315789473450e-01 1.796081423759460449e+00 4.974301755428314209e-01
4.736842105263157632e-01 2.096995830535888672e+00 5.035846233367919922e-01
5.263157894736841813e-01 2.383914947509765625e+00 5.092480182647705078e-01
5.789473684210526550e-01 2.786975145339965820e+00 5.191344618797302246e-01
6.315789473684210176e-01 3.224780559539794922e+00 5.289553999900817871e-01
6.842105263157893802e-01 3.804404020309448242e+00 5.365829467773437500e-01
7.368421052631578538e-01 4.354170322418212891e+00 5.355353951454162598e-01
7.894736842105263275e-01 4.977159976959228516e+00 5.269584655761718750e-01
8.421052631578946901e-01 5.563500881195068359e+00 5.234228968620300293e-01
8.947368421052630527e-01 6.025378227233886719e+00 5.273513197898864746e-01
9.473684210526315264e-01 6.338085651397705078e+00 5.350116491317749023e-01
1.000000000000000000e+00 6.637022018432617188e+00 5.420499444007873535e-01
