# FGSM attack with model_dataset(22000 images)
# and validation_images(2100) 20 epsilon in batches of 42 images
# metrics between model_dataset & adv validation dataset
# Model_vali_adv_density Model_vali_adv_coverage
1.095238178968429565e-01 1.049999962560832500e-03
9.047619998455047607e-02 8.499999530613422394e-04
7.142857462167739868e-02 6.500000017695128918e-04
3.333333507180213928e-02 2.499999827705323696e-04
2.857143059372901917e-02 1.999999949475750327e-04
2.857143059372901917e-02 1.999999949475750327e-04
8.904762268066406250e-01 9.250000119209289551e-03
1.047619104385375977e+00 1.090000011026859283e-02
1.176190495491027832e+00 1.224999967962503433e-02
1.200000047683715820e+00 1.249999925494194031e-02
1.152381062507629395e+00 1.200000010430812836e-02
1.000000000000000000e+00 1.040000002831220627e-02
8.333333730697631836e-01 8.650000207126140594e-03
6.047619581222534180e-01 6.249999627470970154e-03
3.714285790920257568e-01 3.849999979138374329e-03
3.476190567016601562e-01 3.599999938160181046e-03
2.904762029647827148e-01 3.000000026077032089e-03
2.333333492279052734e-01 2.399999881163239479e-03
1.809523999691009521e-01 1.749999937601387501e-03
1.476190388202667236e-01 1.449999981559813023e-03
1.333333402872085571e-01 1.300000003539025784e-03
1.047619059681892395e-01 9.999999310821294785e-04
9.047619253396987915e-02 8.499999530613422394e-04
7.142857462167739868e-02 6.500000017695128918e-04
5.238095298409461975e-02 4.999999655410647392e-04
3.333333507180213928e-02 2.999999851454049349e-04
1.090476274490356445e+00 1.129999943077564240e-02
1.314285874366760254e+00 1.359999924898147583e-02
1.428571581840515137e+00 1.475000008940696716e-02
1.395238161087036133e+00 1.434999983757734299e-02
1.252380967140197754e+00 1.289999950677156448e-02
1.085714340209960938e+00 1.114999968558549881e-02
7.999999523162841797e-01 8.150000125169754028e-03
5.761905312538146973e-01 5.899999756366014481e-03
3.000000119209289551e-01 3.099999856203794479e-03
2.714285552501678467e-01 2.799999900162220001e-03
2.428571432828903198e-01 2.499999944120645523e-03
1.952381134033203125e-01 1.999999862164258957e-03
1.666666716337203979e-01 1.649999991059303284e-03
1.380952447652816772e-01 1.300000003539025784e-03
1.285714358091354370e-01 1.199999940581619740e-03
1.238095313310623169e-01 1.150000025518238544e-03
7.619047909975051880e-02 7.999999797903001308e-04
6.190476194024085999e-02 6.500000017695128918e-04
5.714286118745803833e-02 5.999999702908098698e-04
5.714286118745803833e-02 5.999999702908098698e-04
1.123809576034545898e+00 1.174999959766864777e-02
1.319047689437866211e+00 1.379999984055757523e-02
1.419047594070434570e+00 1.469999924302101135e-02
1.404761910438537598e+00 1.449999958276748657e-02
1.323809623718261719e+00 1.359999924898147583e-02
1.157142877578735352e+00 1.179999951273202896e-02
9.619048237800598145e-01 9.800000116229057312e-03
6.571429371833801270e-01 6.749999709427356720e-03
4.428571462631225586e-01 4.549999721348285675e-03
4.190476238727569580e-01 4.249999765306711197e-03
3.761904537677764893e-01 3.749999916180968285e-03
3.428571522235870361e-01 3.349999897181987762e-03
3.142857253551483154e-01 3.000000026077032089e-03
