# FGSM attack NewNet model with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon
# 50% mix of adv vali samples random
# Epsilon Model_accuracy Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 4.046304225921630859e-01 1.016949772834777832e+00 3.439473807811737061e-01
5.263157894736841813e-02 3.802039027214050293e-01 1.051911592483520508e+00 3.519264161586761475e-01
1.052631578947368363e-01 3.576890230178833008e-01 1.076847791671752930e+00 3.565254211425781250e-01
1.578947368421052544e-01 3.279524445533752441e-01 1.088445186614990234e+00 3.570241332054138184e-01
2.105263157894736725e-01 2.943925261497497559e-01 1.086151242256164551e+00 3.534409403800964355e-01
2.631578947368420907e-01 2.678419947624206543e-01 1.067247271537780762e+00 3.463115394115447998e-01
3.157894736842105088e-01 2.398045659065246582e-01 1.034579396247863770e+00 3.357652127742767334e-01
3.684210526315789269e-01 2.206881642341613770e-01 9.911640286445617676e-01 3.219496905803680420e-01
4.210526315789473450e-01 2.060322761535644531e-01 9.375105500221252441e-01 3.063056468963623047e-01
4.736842105263157632e-01 1.898895502090454102e-01 8.779523968696594238e-01 2.895534038543701172e-01
5.263157894736841813e-01 1.788445115089416504e-01 8.181393742561340332e-01 2.722285687923431396e-01
5.789473684210526550e-01 1.724723577499389648e-01 7.612149715423583984e-01 2.551438808441162109e-01
6.315789473684210176e-01 1.684367060661315918e-01 7.131265997886657715e-01 2.410882413387298584e-01
6.842105263157893802e-01 1.654630303382873535e-01 6.813933253288269043e-01 2.328691184520721436e-01
7.368421052631578538e-01 1.616397500038146973e-01 6.578164696693420410e-01 2.264785170555114746e-01
7.894736842105263275e-01 1.607901453971862793e-01 6.415038704872131348e-01 2.220826745033264160e-01
8.421052631578946901e-01 1.603653430938720703e-01 6.347918510437011719e-01 2.197000533342361450e-01
8.947368421052630527e-01 1.605777144432067871e-01 6.293967962265014648e-01 2.176498770713806152e-01
9.473684210526315264e-01 1.618521809577941895e-01 6.269328594207763672e-01 2.162831127643585205e-01
1.000000000000000000e+00 1.597281098365783691e-01 6.298640966415405273e-01 2.157474756240844727e-01
