# FGSM attack NewNet model with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon
# 75% mix of adv vali samples random
# Epsilon Model_accuracy Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 4.046304225921630859e-01 1.016949772834777832e+00 3.439473807811737061e-01
5.263157894736841813e-02 3.802039027214050293e-01 1.071197986602783203e+00 3.559343814849853516e-01
1.052631578947368363e-01 3.576890230178833008e-01 1.111257314682006836e+00 3.629714548587799072e-01
1.578947368421052544e-01 3.279524445533752441e-01 1.128164768218994141e+00 3.628052175045013428e-01
2.105263157894736725e-01 2.943925261497497559e-01 1.125616073608398438e+00 3.568763732910156250e-01
2.631578947368420907e-01 2.678419947624206543e-01 1.097238779067993164e+00 3.449817001819610596e-01
3.157894736842105088e-01 2.398045659065246582e-01 1.049405217170715332e+00 3.283402919769287109e-01
3.684210526315789269e-01 2.206881642341613770e-01 9.853015542030334473e-01 3.084296882152557373e-01
4.210526315789473450e-01 2.060322761535644531e-01 9.074341654777526855e-01 2.841786444187164307e-01
4.736842105263157632e-01 1.898895502090454102e-01 8.179269433021545410e-01 2.579328417778015137e-01
5.263157894736841813e-01 1.788445115089416504e-01 7.282072901725769043e-01 2.303941547870635986e-01
5.789473684210526550e-01 1.724723577499389648e-01 6.425658464431762695e-01 2.038528323173522949e-01
6.315789473684210176e-01 1.684367060661315918e-01 5.727272629737854004e-01 1.825200319290161133e-01
6.842105263157893802e-01 1.654630303382873535e-01 5.225573778152465820e-01 1.673377454280853271e-01
7.368421052631578538e-01 1.616397500038146973e-01 4.841121733188629150e-01 1.553692072629928589e-01
7.894736842105263275e-01 1.607901453971862793e-01 4.588360488414764404e-01 1.466698646545410156e-01
8.421052631578946901e-01 1.603653430938720703e-01 4.445199668407440186e-01 1.422186046838760376e-01
8.947368421052630527e-01 1.605777144432067871e-01 4.330925941467285156e-01 1.383029818534851074e-01
9.473684210526315264e-01 1.618521809577941895e-01 4.275701045989990234e-01 1.355509608983993530e-01
1.000000000000000000e+00 1.597281098365783691e-01 4.254035651683807373e-01 1.336116194725036621e-01
