# FGSM attack NewNet model with model_dataset(54142 images)
# and validation_images(4708) 20 epsilon
# 75% mix of adv vali samples random
# Epsilon model_acc Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 4.046304225921630859e-01 1.016949772834777832e+00 3.439473807811737061e-01
5.263157894736841813e-02 3.802039027214050293e-01 1.071877598762512207e+00 3.558974564075469971e-01
1.052631578947368363e-01 3.576890230178833008e-01 1.112446904182434082e+00 3.625835776329040527e-01
1.578947368421052544e-01 3.279524445533752441e-01 1.132880210876464844e+00 3.627682626247406006e-01
2.105263157894736725e-01 2.943925261497497559e-01 1.133007645606994629e+00 3.571718931198120117e-01
2.631578947368420907e-01 2.678419947624206543e-01 1.104630351066589355e+00 3.452772200107574463e-01
3.157894736842105088e-01 2.398045659065246582e-01 1.054757833480834961e+00 3.281740546226501465e-01
3.684210526315789269e-01 2.206881642341613770e-01 9.895497560501098633e-01 3.082449734210968018e-01
4.210526315789473450e-01 2.060322761535644531e-01 9.057349562644958496e-01 2.831073701381683350e-01
4.736842105263157632e-01 1.898895502090454102e-01 8.112999200820922852e-01 2.558272778987884521e-01
5.263157894736841813e-01 1.788445115089416504e-01 7.183517217636108398e-01 2.272357791662216187e-01
5.789473684210526550e-01 1.724723577499389648e-01 6.339422464370727539e-01 2.010638713836669922e-01
6.315789473684210176e-01 1.684367060661315918e-01 5.637212991714477539e-01 1.797680109739303589e-01
6.842105263157893802e-01 1.654630303382873535e-01 5.141885876655578613e-01 1.644933670759201050e-01
7.368421052631578538e-01 1.616397500038146973e-01 4.791843593120574951e-01 1.533744633197784424e-01
7.894736842105263275e-01 1.607901453971862793e-01 4.547153711318969727e-01 1.450445055961608887e-01
8.421052631578946901e-01 1.603653430938720703e-01 4.411639571189880371e-01 1.396328210830688477e-01
8.947368421052630527e-01 1.605777144432067871e-01 4.311809837818145752e-01 1.361789405345916748e-01
9.473684210526315264e-01 1.618521809577941895e-01 4.273576736450195312e-01 1.335931420326232910e-01
1.000000000000000000e+00 1.597281098365783691e-01 4.273152053356170654e-01 1.322817802429199219e-01
