# FGSM attack NewNet model with model_dataset(20000 images)
# and validation_images(2100) 20 epsilon
# 75% mix of adv vali samples not random
# Epsilon Model_accuracy Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 9.895238094031810760e-01 9.972381591796875000e-01 3.915999829769134521e-01
5.263157894736841813e-02 9.890476185828447342e-01 1.144761919975280762e+00 4.309999942779541016e-01
1.052631578947368363e-01 9.876190479844808578e-01 1.226857185363769531e+00 4.473999738693237305e-01
1.578947368421052544e-01 9.871428571641445160e-01 1.230952382087707520e+00 4.386499822139739990e-01
2.105263157894736725e-01 9.857142856344580650e-01 1.165714263916015625e+00 4.140999913215637207e-01
2.631578947368420907e-01 9.833333324640989304e-01 1.037238001823425293e+00 3.736999928951263428e-01
3.157894736842105088e-01 9.823809526860713959e-01 8.553333878517150879e-01 3.163499832153320312e-01
3.684210526315789269e-01 9.785714279860258102e-01 6.724762320518493652e-01 2.582499980926513672e-01
4.210526315789473450e-01 9.757142849266529083e-01 5.111428499221801758e-01 2.061999887228012085e-01
4.736842105263157632e-01 9.628571420907974243e-01 4.852380752563476562e-01 1.946999877691268921e-01
5.263157894736841813e-01 9.328571408987045288e-01 4.604761898517608643e-01 1.843499988317489624e-01
5.789473684210526550e-01 8.842857107520103455e-01 4.323809444904327393e-01 1.727499961853027344e-01
6.315789473684210176e-01 7.828571498394012451e-01 4.058095216751098633e-01 1.627499908208847046e-01
6.842105263157893802e-01 6.809523701667785645e-01 3.787619173526763916e-01 1.530999988317489624e-01
7.368421052631578538e-01 5.699999928474426270e-01 3.558095395565032959e-01 1.454000025987625122e-01
7.894736842105263275e-01 4.700000286102294922e-01 3.336190581321716309e-01 1.380999982357025146e-01
8.421052631578946901e-01 4.004762172698974609e-01 3.133333325386047363e-01 1.322000026702880859e-01
8.947368421052630527e-01 3.319047689437866211e-01 2.987619042396545410e-01 1.282999962568283081e-01
9.473684210526315264e-01 2.871428728103637695e-01 2.851428687572479248e-01 1.245999932289123535e-01
1.000000000000000000e+00 2.461904883384704590e-01 2.755237817764282227e-01 1.228999942541122437e-01
