# FGSM attack NewNet model with model_dataset(20000 images)
# and validation_images(2100) 20 epsilon
# 25% mix of adv vali samples not random
# Epsilon Model_accuracy Vali25_adv_den Vali25_adv_cov
0.000000000000000000e+00 9.895238094031810760e-01 9.972381591796875000e-01 3.915999829769134521e-01
5.263157894736841813e-02 9.890476185828447342e-01 1.046000003814697266e+00 4.055999815464019775e-01
1.052631578947368363e-01 9.876190479844808578e-01 1.074952363967895508e+00 4.126499891281127930e-01
1.578947368421052544e-01 9.871428571641445160e-01 1.077428579330444336e+00 4.110499918460845947e-01
2.105263157894736725e-01 9.857142856344580650e-01 1.053904771804809570e+00 4.036499857902526855e-01
2.631578947368420907e-01 9.833333324640989304e-01 1.008762001991271973e+00 3.901000022888183594e-01
3.157894736842105088e-01 9.823809526860713959e-01 9.480952024459838867e-01 3.708499968051910400e-01
3.684210526315789269e-01 9.785714279860258102e-01 8.852381706237792969e-01 3.525999784469604492e-01
4.210526315789473450e-01 9.757142849266529083e-01 8.309523463249206543e-01 3.364499807357788086e-01
4.736842105263157632e-01 9.628571420907974243e-01 8.221905231475830078e-01 3.328499794006347656e-01
5.263157894736841813e-01 9.328571408987045288e-01 8.131428956985473633e-01 3.296999931335449219e-01
5.789473684210526550e-01 8.842857107520103455e-01 8.031429052352905273e-01 3.262499868869781494e-01
6.315789473684210176e-01 7.828571498394012451e-01 7.947618961334228516e-01 3.236999809741973877e-01
6.842105263157893802e-01 6.809523701667785645e-01 7.856190800666809082e-01 3.206000030040740967e-01
7.368421052631578538e-01 5.699999928474426270e-01 7.779048085212707520e-01 3.185999989509582520e-01
7.894736842105263275e-01 4.700000286102294922e-01 7.712381482124328613e-01 3.168500065803527832e-01
8.421052631578946901e-01 4.004762172698974609e-01 7.644761800765991211e-01 3.150500059127807617e-01
8.947368421052630527e-01 3.319047689437866211e-01 7.590476274490356445e-01 3.137499988079071045e-01
9.473684210526315264e-01 2.871428728103637695e-01 7.551428675651550293e-01 3.128499984741210938e-01
1.000000000000000000e+00 2.461904883384704590e-01 7.517143487930297852e-01 3.122999966144561768e-01
